Hourly measurement data supplied by UK-air on 25/7/2014
 All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,Camden Kerbside,,,,,,,,,,,,,,,,,,,,London Bloomsbury,,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM10 particulate matter (Hourly measured)",status/unit,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Non-volatile PM2.5 (Hourly measured)",status/unit,"PM2.5 particulate matter (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"PM10 particulate matter (Hourly measured)",status/unit,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Non-volatile PM2.5 (Hourly measured)",status/unit,"Ozone",status/unit,"PM2.5 particulate matter (Hourly measured)",status/unit,"Sulphur dioxide",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit
01-01-2014,20:00,-0,R ugm-3 (TEOM FDMS),212.4,P deg,8.3,P ms-1,11.5,P degC,13,R ugm-3,28,R ugm-3,48,R ugm-3,4,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS),10,R ugm-3 (TEOM FDMS),214.8,P deg,8.5,P ms-1,11.5,P degC,1,R ugm-3,22,R ugm-3,24,R ugm-3,4,R ugm-3 (TEOM FDMS),51,R ugm-3,5,R ugm-3 (TEOM FDMS),3,R ugm-3,2,R ugm-3 (TEOM FDMS)
01-01-2014,21:00,-0,R ugm-3 (TEOM FDMS),213.7,P deg,8.2,P ms-1,11.5,P degC,9,R ugm-3,25,R ugm-3,40,R ugm-3,1,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),12,R ugm-3 (TEOM FDMS),217.0,P deg,8.4,P ms-1,11.6,P degC,1,R ugm-3,20,R ugm-3,22,R ugm-3,6,R ugm-3 (TEOM FDMS),56,R ugm-3,7,R ugm-3 (TEOM FDMS),3,R ugm-3,1,R ugm-3 (TEOM FDMS)
01-01-2014,22:00,-3,R ugm-3 (TEOM FDMS),216.5,P deg,8.0,P ms-1,11.4,P degC,9,R ugm-3,24,R ugm-3,37,R ugm-3,-1,R ugm-3 (TEOM FDMS),-2,R ugm-3 (TEOM FDMS),-1,R ugm-3 (TEOM FDMS),-3,R ugm-3 (TEOM FDMS),220.1,P deg,8.3,P ms-1,11.5,P degC,1,R ugm-3,21,R ugm-3,22,R ugm-3,5,R ugm-3 (TEOM FDMS),64,R ugm-3,10,R ugm-3 (TEOM FDMS),3,R ugm-3,5,R ugm-3 (TEOM FDMS)
01-01-2014,23:00,4,R ugm-3 (TEOM FDMS),217.6,P deg,7.9,P ms-1,11.2,P degC,10,R ugm-3,29,R ugm-3,44,R ugm-3,4,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),9,R ugm-3 (TEOM FDMS),220.6,P deg,8.2,P ms-1,11.3,P degC,1,R ugm-3,24,R ugm-3,26,R ugm-3,5,R ugm-3 (TEOM FDMS),58,R ugm-3,6,R ugm-3 (TEOM FDMS),3,R ugm-3,1,R ugm-3 (TEOM FDMS)
01-01-2014,24:00,5,R ugm-3 (TEOM FDMS),218.7,P deg,7.7,P ms-1,11.0,P degC,8,R ugm-3,20,R ugm-3,32,R ugm-3,4,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS),11,R ugm-3 (TEOM FDMS),220.8,P deg,8.0,P ms-1,11.1,P degC,1,R ugm-3,21,R ugm-3,23,R ugm-3,3,R ugm-3 (TEOM FDMS),57,R ugm-3,3,R ugm-3 (TEOM FDMS),3,R ugm-3,-1,R ugm-3 (TEOM FDMS)
02-01-2014,01:00,9,R ugm-3 (TEOM FDMS),216.5,P deg,6.9,P ms-1,9.1,P degC,4,R ugm-3,18,R ugm-3,24,R ugm-3,4,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),-0,R ugm-3 (TEOM FDMS),19,R ugm-3 (TEOM FDMS),219.1,P deg,7.1,P ms-1,9.3,P degC,1,R ugm-3,22,R ugm-3,24,R ugm-3,6,R ugm-3 (TEOM FDMS),59,R ugm-3,6,R ugm-3 (TEOM FDMS),3,R ugm-3,-0,R ugm-3 (TEOM FDMS)
02-01-2014,02:00,6,R ugm-3 (TEOM FDMS),219.7,P deg,6.6,P ms-1,9.1,P degC,2,R ugm-3,14,R ugm-3,17,R ugm-3,3,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),-0,R ugm-3 (TEOM FDMS),14,R ugm-3 (TEOM FDMS),222.0,P deg,6.9,P ms-1,9.3,P degC,1,R ugm-3,19,R ugm-3,20,R ugm-3,6,R ugm-3 (TEOM FDMS),65,R ugm-3,7,R ugm-3 (TEOM FDMS),3,R ugm-3,1,R ugm-3 (TEOM FDMS)
02-01-2014,03:00,1,R ugm-3 (TEOM FDMS),231.9,P deg,5.7,P ms-1,9.1,P degC,2,R ugm-3,13,R ugm-3,16,R ugm-3,2,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),0,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),229.9,P deg,6.2,P ms-1,9.7,P degC,1,R ugm-3,20,R ugm-3,21,R ugm-3,3,R ugm-3 (TEOM FDMS),62,R ugm-3,3,R ugm-3 (TEOM FDMS),3,R ugm-3,-1,R ugm-3 (TEOM FDMS)
02-01-2014,04:00,5,R ugm-3 (TEOM FDMS),265.2,P deg,5.0,P ms-1,8.9,P degC,2,R ugm-3,15,R ugm-3,17,R ugm-3,3,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),0,R ugm-3 (TEOM FDMS),8,R ugm-3 (TEOM FDMS),261.3,P deg,5.7,P ms-1,9.3,P degC,1,R ugm-3,23,R ugm-3,24,R ugm-3,3,R ugm-3 (TEOM FDMS),57,R ugm-3,3,R ugm-3 (TEOM FDMS),3,R ugm-3,-1,R ugm-3 (TEOM FDMS)
02-01-2014,05:00,6,R ugm-3 (TEOM FDMS),268.7,P deg,4.7,P ms-1,8.3,P degC,1,R ugm-3,13,R ugm-3,15,R ugm-3,4,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),-2,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),269.8,P deg,5.0,P ms-1,8.5,P degC,1,R ugm-3,23,R ugm-3,24,R ugm-3,4,R ugm-3 (TEOM FDMS),59,R ugm-3,1,R ugm-3 (TEOM FDMS),3,R ugm-3,-2,R ugm-3 (TEOM FDMS)
02-01-2014,06:00,0.000000,R ugm-3 (TEOM FDMS),268.7,P deg,4.9,P ms-1,7.2,P degC,3,R ugm-3,16,R ugm-3,20,R ugm-3,4,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS),-3,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS),268.7,P deg,5.4,P ms-1,7.9,P degC,2,R ugm-3,30,R ugm-3,32,R ugm-3,4,R ugm-3 (TEOM FDMS),47,R ugm-3,1,R ugm-3 (TEOM FDMS),3,R ugm-3,-4,R ugm-3 (TEOM FDMS)
02-01-2014,07:00,0,R ugm-3 (TEOM FDMS),261.2,P deg,5.1,P ms-1,6.9,P degC,11,R ugm-3,39,R ugm-3,55,R ugm-3,5,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),-2,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),263.0,P deg,5.6,P ms-1,7.1,P degC,3,R ugm-3,38,R ugm-3,43,R ugm-3,5,R ugm-3 (TEOM FDMS),30,R ugm-3,3,R ugm-3 (TEOM FDMS),2,R ugm-3,-2,R ugm-3 (TEOM FDMS)
