Hourly measurement data supplied by UK-air on 25/7/2014
 All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,London Eltham,,,,,,,,,,,,,,,,,,,,
Date,time,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Non-volatile PM2.5 (Hourly measured)",status/unit,"Ozone",status/unit,"PM2.5 particulate matter (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit
03-01-2014,01:00,209.9,P deg,10.1,P ms-1,10.6,P degC,2,R ugm-3,2,R ugm-3,5,R ugm-3,1,R ugm-3 (TEOM FDMS),67,R ugm-3,4,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
03-01-2014,02:00,222.1,P deg,9.3,P ms-1,11.1,P degC,1,R ugm-3,4,R ugm-3,5,R ugm-3,2,R ugm-3 (TEOM FDMS),69,R ugm-3,5,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
03-01-2014,03:00,234.4,P deg,8.4,P ms-1,11.6,P degC,1,R ugm-3,2,R ugm-3,4,R ugm-3,-0,R ugm-3 (TEOM FDMS),72,R ugm-3,0,R ugm-3 (TEOM FDMS),0,R ugm-3 (TEOM FDMS)
03-01-2014,04:00,239.2,P deg,7.1,P ms-1,10.7,P degC,1,R ugm-3,2,R ugm-3,3,R ugm-3,4,R ugm-3 (TEOM FDMS),78,R ugm-3,7,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
03-01-2014,05:00,234.8,P deg,6.2,P ms-1,9.9,P degC,1,R ugm-3,3,R ugm-3,4,R ugm-3,6,R ugm-3 (TEOM FDMS),75,R ugm-3,9,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
03-01-2014,06:00,225.6,P deg,6.4,P ms-1,9.6,P degC,2,R ugm-3,5,R ugm-3,7,R ugm-3,6,R ugm-3 (TEOM FDMS),75,R ugm-3,8,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
03-01-2014,07:00,221.9,P deg,7.8,P ms-1,9.6,P degC,1,R ugm-3,7,R ugm-3,9,R ugm-3,7,R ugm-3 (TEOM FDMS),74,R ugm-3,11,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
03-01-2014,08:00,222.5,P deg,8.8,P ms-1,9.8,P degC,2,R ugm-3,9,R ugm-3,12,R ugm-3,5,R ugm-3 (TEOM FDMS),75,R ugm-3,8,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
03-01-2014,09:00,225.5,P deg,9.6,P ms-1,10.5,P degC,3,R ugm-3,16,R ugm-3,20,R ugm-3,2,R ugm-3 (TEOM FDMS),67,R ugm-3,4,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
03-01-2014,10:00,232.9,P deg,10.0,P ms-1,10.5,P degC,3,R ugm-3,14,R ugm-3,19,R ugm-3,2,R ugm-3 (TEOM FDMS),69,R ugm-3,3,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
03-01-2014,11:00,239.6,P deg,9.5,P ms-1,10.7,P degC,3,R ugm-3,12,R ugm-3,17,R ugm-3,2,R ugm-3 (TEOM FDMS),70,R ugm-3,2,R ugm-3 (TEOM FDMS),-0,R ugm-3 (TEOM FDMS)
03-01-2014,12:00,239.2,P deg,9.5,P ms-1,11.0,P degC,3,R ugm-3,11,R ugm-3,16,R ugm-3,3,R ugm-3 (TEOM FDMS),70,R ugm-3,9,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS)
03-01-2014,13:00,238.3,P deg,9.6,P ms-1,10.6,P degC,4,R ugm-3,8,R ugm-3,14,R ugm-3,1,R ugm-3 (TEOM FDMS),75,R ugm-3,3,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
03-01-2014,14:00,235.5,P deg,7.3,P ms-1,10.1,P degC,3,R ugm-3,8,R ugm-3,12,R ugm-3,8,R ugm-3 (TEOM FDMS),78,R ugm-3,15,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS)
03-01-2014,15:00,241.5,P deg,9.5,P ms-1,9.4,P degC,3,R ugm-3,10,R ugm-3,14,R ugm-3,5,R ugm-3 (TEOM FDMS),79,R ugm-3,7,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
03-01-2014,16:00,243.0,P deg,9.5,P ms-1,9.2,P degC,2,R ugm-3,12,R ugm-3,15,R ugm-3,7,R ugm-3 (TEOM FDMS),82,R ugm-3,9,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
03-01-2014,17:00,246.7,P deg,9.4,P ms-1,8.9,P degC,2,R ugm-3,10,R ugm-3,12,R ugm-3,4,R ugm-3 (TEOM FDMS),87,R ugm-3,7,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
03-01-2014,18:00,248.3,P deg,9.2,P ms-1,8.8,P degC,2,R ugm-3,13,R ugm-3,17,R ugm-3,8,R ugm-3 (TEOM FDMS),81,R ugm-3,7,R ugm-3 (TEOM FDMS),-1,R ugm-3 (TEOM FDMS)
03-01-2014,19:00,250.1,P deg,9.2,P ms-1,8.4,P degC,2,R ugm-3,12,R ugm-3,14,R ugm-3,6,R ugm-3 (TEOM FDMS),82,R ugm-3,8,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
03-01-2014,20:00,250.3,P deg,8.6,P ms-1,8.3,P degC,2,R ugm-3,8,R ugm-3,11,R ugm-3,6,R ugm-3 (TEOM FDMS),88,R ugm-3,7,R ugm-3 (TEOM FDMS),0,R ugm-3 (TEOM FDMS)
03-01-2014,21:00,246.5,P deg,8.6,P ms-1,8.2,P degC,2,R ugm-3,6,R ugm-3,9,R ugm-3,7,R ugm-3 (TEOM FDMS),93,R ugm-3,9,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
03-01-2014,22:00,244.0,P deg,8.2,P ms-1,8.4,P degC,2,R ugm-3,6,R ugm-3,9,R ugm-3,8,R ugm-3 (TEOM FDMS),86,R ugm-3,7,R ugm-3 (TEOM FDMS),-1,R ugm-3 (TEOM FDMS)
03-01-2014,23:00,240.1,P deg,7.5,P ms-1,8.7,P degC,2,R ugm-3,7,R ugm-3,10,R ugm-3,11,R ugm-3 (TEOM FDMS),77,R ugm-3,12,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
03-01-2014,24:00,233.5,P deg,7.3,P ms-1,8.9,P degC,2,R ugm-3,6,R ugm-3,9,R ugm-3,10,R ugm-3 (TEOM FDMS),74,R ugm-3,9,R ugm-3 (TEOM FDMS),-1,R ugm-3 (TEOM FDMS)
04-01-2014,01:00,226.1,P deg,7.4,P ms-1,8.0,P degC,1,R ugm-3,4,R ugm-3,6,R ugm-3,6,R ugm-3 (TEOM FDMS),77,R ugm-3,8,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
04-01-2014,02:00,219.6,P deg,7.1,P ms-1,8.4,P degC,1,R ugm-3,4,R ugm-3,6,R ugm-3,4,R ugm-3 (TEOM FDMS),76,R ugm-3,6,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
04-01-2014,03:00,211.2,P deg,7.4,P ms-1,8.9,P degC,1,R ugm-3,3,R ugm-3,5,R ugm-3,4,R ugm-3 (TEOM FDMS),73,R ugm-3,7,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
04-01-2014,04:00,206.2,P deg,7.5,P ms-1,9.0,P degC,1,R ugm-3,2,R ugm-3,4,R ugm-3,3,R ugm-3 (TEOM FDMS),72,R ugm-3,6,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
04-01-2014,05:00,198.7,P deg,8.8,P ms-1,9.3,P degC,2,R ugm-3,2,R ugm-3,4,R ugm-3,-0,R ugm-3 (TEOM FDMS),74,R ugm-3,3,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
04-01-2014,06:00,200.1,P deg,10.0,P ms-1,9.6,P degC,1,R ugm-3,3,R ugm-3,4,R ugm-3,1,R ugm-3 (TEOM FDMS),76,R ugm-3,3,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
04-01-2014,07:00,198.0,P deg,10.6,P ms-1,9.6,P degC,2,R ugm-3,3,R ugm-3,5,R ugm-3,2,R ugm-3 (TEOM FDMS),71,R ugm-3,5,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
04-01-2014,08:00,197.5,P deg,10.9,P ms-1,9.7,P degC,1,R ugm-3,4,R ugm-3,6,R ugm-3,2,R ugm-3 (TEOM FDMS),69,R ugm-3,5,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
04-01-2014,09:00,197.3,P deg,10.6,P ms-1,9.6,P degC,2,R ugm-3,6,R ugm-3,9,R ugm-3,1,R ugm-3 (TEOM FDMS),66,R ugm-3,3,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
04-01-2014,10:00,203.0,P deg,11.0,P ms-1,10.1,P degC,2,R ugm-3,8,R ugm-3,11,R ugm-3,3,R ugm-3 (TEOM FDMS),61,R ugm-3,6,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
04-01-2014,11:00,208.1,P deg,9.8,P ms-1,10.2,P degC,2,R ugm-3,8,R ugm-3,10,R ugm-3,4,R ugm-3 (TEOM FDMS),60,R ugm-3,8,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
04-01-2014,12:00,215.2,P deg,8.3,P ms-1,10.1,P degC,2,R ugm-3,8,R ugm-3,11,R ugm-3,4,R ugm-3 (TEOM FDMS),59,R ugm-3,8,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
04-01-2014,13:00,226.0,P deg,6.7,P ms-1,10.0,P degC,2,R ugm-3,8,R ugm-3,11,R ugm-3,2,R ugm-3 (TEOM FDMS),63,R ugm-3,6,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
04-01-2014,14:00,247.5,P deg,4.6,P ms-1,10.0,P degC,3,R ugm-3,9,R ugm-3,14,R ugm-3,2,R ugm-3 (TEOM FDMS),67,R ugm-3,4,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
04-01-2014,15:00,253.7,P deg,4.2,P ms-1,9.5,P degC,3,R ugm-3,13,R ugm-3,17,R ugm-3,1,R ugm-3 (TEOM FDMS),66,R ugm-3,3,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
04-01-2014,16:00,265.8,P deg,4.5,P ms-1,8.8,P degC,2,R ugm-3,27,R ugm-3,31,R ugm-3,2,R ugm-3 (TEOM FDMS),47,R ugm-3,4,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
04-01-2014,17:00,265.3,P deg,4.2,P ms-1,8.2,P degC,6,R ugm-3,39,R ugm-3,48,R ugm-3,6,R ugm-3 (TEOM FDMS),34,R ugm-3,9,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
04-01-2014,18:00,262.5,P deg,4.7,P ms-1,7.7,P degC,3,R ugm-3,42,R ugm-3,47,R ugm-3,0,R ugm-3 (TEOM FDMS),33,R ugm-3,2,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
04-01-2014,19:00,256.5,P deg,4.3,P ms-1,7.2,P degC,9,R ugm-3,59,R ugm-3,73,R ugm-3,9,R ugm-3 (TEOM FDMS),18,R ugm-3,10,R ugm-3 (TEOM FDMS),0,R ugm-3 (TEOM FDMS)
04-01-2014,20:00,249.9,P deg,4.3,P ms-1,6.6,P degC,4,R ugm-3,40,R ugm-3,46,R ugm-3,7,R ugm-3 (TEOM FDMS),33,R ugm-3,11,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
04-01-2014,21:00,241.1,P deg,3.8,P ms-1,5.8,P degC,4,R ugm-3,38,R ugm-3,44,R ugm-3,7,R ugm-3 (TEOM FDMS),36,R ugm-3,7,R ugm-3 (TEOM FDMS),0,R ugm-3 (TEOM FDMS)
04-01-2014,22:00,227.9,P deg,4.2,P ms-1,5.3,P degC,3,R ugm-3,30,R ugm-3,34,R ugm-3,5,R ugm-3 (TEOM FDMS),42,R ugm-3,5,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
04-01-2014,23:00,216.5,P deg,4.8,P ms-1,5.4,P degC,3,R ugm-3,27,R ugm-3,31,R ugm-3,6,R ugm-3 (TEOM FDMS),42,R ugm-3,7,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
04-01-2014,24:00,210.2,P deg,6.1,P ms-1,6.1,P degC,2,R ugm-3,32,R ugm-3,35,R ugm-3,6,R ugm-3 (TEOM FDMS),28,R ugm-3,7,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
05-01-2014,01:00,249.8,P deg,3.7,P ms-1,2.5,P degC,2,R ugm-3,30,R ugm-3,33,R ugm-3,5,R ugm-3 (TEOM FDMS),26,R ugm-3,6,R ugm-3 (TEOM FDMS),0,R ugm-3 (TEOM FDMS)
05-01-2014,02:00,247.0,P deg,3.4,P ms-1,2.3,P degC,2,R ugm-3,26,R ugm-3,29,R ugm-3,3,R ugm-3 (TEOM FDMS),30,R ugm-3,4,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
05-01-2014,03:00,247.1,P deg,3.3,P ms-1,2.1,P degC,2,R ugm-3,19,R ugm-3,22,R ugm-3,5,R ugm-3 (TEOM FDMS),43,R ugm-3,3,R ugm-3 (TEOM FDMS),-2,R ugm-3 (TEOM FDMS)
